,Name,Class,Rating,Total Rater,Price,Area,AirConditioner,Bar,Pool,Spa,FitenessCenter,Restaurant,HotTub
30,Casa Living,2-star hotel,4.2,(398),"IDR 246,456",Jakarta,True,False,False,False,False,False,False
31,Amaris Grogol,2-star hotel,4.3,"(1,415)","IDR 297,266",Jakarta,True,False,False,False,False,True,False
32,LeGreen Suite Senayan,2-star hotel,3.9,(507),"IDR 257,620",Jakarta,True,False,False,False,False,False,False
33,Amaris Hotel Senen,2-star hotel,4.1,"(1,418)","IDR 294,532",Jakarta,True,False,False,False,False,True,False
34,d'primahotel ITC Mangga Dua,2-star hotel,4.3,"(1,307)","IDR 192,294",Jakarta,True,False,False,False,False,True,False
35,ibis budget Jakarta Menteng,2-star hotel,4,"(1,581)","IDR 306,185",Jakarta,True,False,False,False,False,True,False
36,Hotel Senen Indah,2-star hotel,4.2,"(1,272)","IDR 173,790",Jakarta,True,False,False,False,False,True,False
37,Hotel Alma,2-star hotel,4,(787),"IDR 142,139",Jakarta,True,False,False,False,False,False,False
38,SUMI Hotel,2-star hotel,4.1,(595),"IDR 194,645",Jakarta,True,False,False,False,False,False,False
39,Amaris Hotel Tebet,2-star hotel,4.1,"(1,952)","IDR 364,320",Jakarta,True,False,False,False,False,True,False
40,OYO Flagship 210 Amethyst Kemayoran,2-star hotel,4.3,"(1,595)","IDR 161,341",Jakarta,True,False,False,False,False,False,False
41,Hotel 88 Mangga Besar VIII,2-star hotel,4.1,"(1,556)","IDR 234,977",Jakarta,True,False,False,False,False,True,False
42,Amaris Hotel Pasar Baru,2-star hotel,4.3,"(1,508)","IDR 343,995",Jakarta,True,False,False,False,False,True,False
43,Cipta Hotel Wahid Hasyim,2-star hotel,4.1,(695),"IDR 285,511",Jakarta,True,False,False,False,False,True,False
44,Sotis Residence Pejompongan,2-star hotel,4.3,"(1,305)","IDR 387,600",Jakarta,True,False,False,False,False,True,False
45,Hotel Gren Alia Cikini,2-star hotel,4.3,"(2,794)","IDR 440,151",Jakarta,True,False,False,False,False,True,False
46,LeGreen Suite Kuningan,2-star hotel,4.1,(629),"IDR 272,317",Jakarta,True,False,False,False,False,False,False
47,Cengkareng Transit Hotel,2-star hotel,4,"(1,096)","IDR 312,306",Jakarta,True,False,False,False,False,True,False
48,Shakti,2-star hotel,4.3,"(1,182)","IDR 255,000",Jakarta,True,False,False,False,False,True,False
49,Amaris Hotel Pancoran,2-star hotel,4.3,"(1,751)","IDR 406,611",Jakarta,True,False,False,False,False,True,False
50,Shakti,2-star hotel,4.3,"(1,182)","IDR 255,000",Jakarta,True,False,False,False,False,True,False
51,Hotel Maxim,2-star hotel,3.7,(580),"IDR 135,500",Jakarta,True,False,False,False,False,True,False
52,Grandboutique-Inn,2-star hotel,4,(89),"IDR 299,213",Jakarta,True,False,False,False,False,False,False
53,Amaris Hotel Pancoran,2-star hotel,4.3,"(1,751)","IDR 406,611",Jakarta,True,False,False,False,False,True,False
54,Jambrut Inn Hotel,2-star hotel,4.1,(202),"IDR 169,263",Jakarta,True,False,False,False,False,False,False
55,BI Executive Hotel,2-star hotel,4.5,"(1,472)","IDR 402,900",Jakarta,True,False,False,False,False,True,False
56,d'primahotel WTC Mangga Dua,2-star hotel,4.3,(674),"IDR 216,173",Jakarta,True,False,False,False,False,True,False
57,U Stay Hotel Asem Baris Jakarta,2-star hotel,4.4,(633),"IDR 364,650",Jakarta,True,False,False,False,False,True,False
58,V Hotel Tebet,2-star hotel,4.3,"(1,874)","IDR 339,151",Jakarta,True,False,False,False,False,True,False
59,OYO 148 Cempaka Place Homestay,2-star hotel,4,(651),"IDR 132,253",Jakarta,True,False,False,False,False,False,False
60,Sun Rise House,2-star hotel,4.3,(295),"IDR 187,246",Jakarta,True,False,True,False,False,False,False
61,Urbanview Hotel Bes Mangga Besar,2-star hotel,3.9,(278),"IDR 178,080",Jakarta,True,False,False,False,False,True,False
62,LeGreen Suite Supomo,2-star hotel,4.3,(322),"IDR 211,939",Jakarta,True,False,False,False,False,False,False
63,RedDoorz near Hayam Wuruk,2-star hotel,3.2,(745),"IDR 94,941",Jakarta,True,False,False,False,False,False,False
64,Rota Hotel,2-star hotel,3.8,(311),"IDR 306,156",Jakarta,True,False,False,False,False,True,False
66,RedDoorz Plus @ Cideng Barat,2-star hotel,4.3,(662),"IDR 163,875",Jakarta,False,False,False,False,False,False,False
67,Cikini Hotel,2-star hotel,4.3,"(1,084)","IDR 257,322",Jakarta,True,False,False,False,False,False,False
68,Hotel Dragon Inn,2-star hotel,4.1,(861),"IDR 357,000",Jakarta,True,False,False,False,False,True,False
69,RedDoorz Plus @ Guntur Raya Setiabudi,2-star hotel,4.2,(550),"IDR 276,137",Jakarta,False,False,False,False,False,True,False
70,C'One Hotel Pulomas,2-star hotel,4.2,(502),"IDR 238,908",Jakarta,True,False,False,False,False,True,False
71,OYO 1421 Kasmaran Guest House Syariah,2-star hotel,4.2,(230),"IDR 187,738",Jakarta,True,False,True,False,False,False,False
72,OYO 137 Permata Tawakal,2-star hotel,4,(332),"IDR 103,592",Jakarta,False,False,False,False,False,False,False
73,Amaris Hotel Bandara Soekarno Hatta,2-star hotel,3.9,"(2,478)","IDR 382,750",Jakarta,True,False,False,False,False,True,False
74,RedDoorz near ITC Cempaka Mas,2-star hotel,3.2,(521),"IDR 122,611",Jakarta,False,False,False,False,False,False,False
75,RedDoorz Plus @ Guntur Raya Setiabudi,2-star hotel,4.2,(550),"IDR 276,137",Jakarta,False,False,False,False,False,True,False
76,OYO 146 Menteng Residence,2-star hotel,3.4,(184),"IDR 96,622",Jakarta,True,False,False,False,False,False,False
77,OYO 137 Permata Tawakal,2-star hotel,4,(332),"IDR 103,592",Jakarta,False,False,False,False,False,False,False
78,OYO 123 Puri Lotus,2-star hotel,3.8,(317),"IDR 179,486",Jakarta,True,False,False,False,False,False,False
79,Golden Mansion,2-star hotel,4.1,(215),"IDR 390,469",Jakarta,True,False,False,False,False,False,False
80,LeGreen Suite Tebet,2-star hotel,4.1,(480),"IDR 330,137",Jakarta,True,False,False,False,False,False,False
81,Collection O 91071 Hotel Desa Wisata Tmii,2-star hotel,4.2,(927),"IDR 565,229",Jakarta,True,False,False,False,False,True,False
82,RedDoorz @ Jalan Gatot Subroto Jakarta,2-star hotel,4.4,(162),"IDR 223,447",Jakarta,False,False,False,False,False,False,False
83,OYO 3755 Sweet Home,2-star hotel,3.4,(58),"IDR 62,712",Jakarta,True,False,False,False,False,False,False
84,OYO 2416 Griya Otista Syariah,2-star hotel,3.8,(160),"IDR 91,444",Jakarta,True,False,False,False,False,False,False
86,OYO 2223 J&b Room Utan Kayu,2-star hotel,3.6,(213),"IDR 111,588",Jakarta,True,False,False,False,False,False,False
87,RedDoorz near Gajah Mada Plaza 2,2-star hotel,3.7,(185),"IDR 89,818",Jakarta,False,False,False,False,False,False,False
88,RedDoorz near Halim Perdanakusuma 3,2-star hotel,4.1,(159),"IDR 206,625",Jakarta,True,False,False,False,False,False,False
89,OYO 127 W Residence,2-star hotel,4,(572),"IDR 120,668",Jakarta,True,False,False,False,False,False,False
91,Puspita Guesthouse,2-star hotel,3.3,(74),"IDR 202,465",Jakarta,True,False,False,False,False,False,False
92,RedDoorz near Kebon Jeruk Jakarta,2-star hotel,4.4,(240),"IDR 152,568",Jakarta,True,False,False,False,False,False,False
93,RedDoorz Plus near Tebet,2-star hotel,4.5,(258),"IDR 470,080",Jakarta,True,False,False,False,False,False,False
94,OYO 181 Wisma Bintang,2-star hotel,3.9,(484),"IDR 89,425",Jakarta,True,False,False,False,False,False,False
95,OYO 2308 Seven Season Residence,2-star hotel,3.8,(242),"IDR 113,750",Jakarta,True,False,False,False,False,False,False
97,OYO 1868 J&b Room Pramuka,2-star hotel,3.6,(155),"IDR 104,933",Jakarta,True,False,False,False,False,False,False
100,OYO 1487 Residence Khoe,2-star hotel,4.3,(242),"IDR 144,575",Jakarta,True,False,False,False,False,False,False
101,RedDoorz @ Kebon Kacang,2-star hotel,3.9,(124),"IDR 153,188",Jakarta,True,False,False,False,False,False,False
102,OYO 3747 Comfort Residence,2-star hotel,4.1,(71),"IDR 147,145",Jakarta,True,False,False,False,False,False,False
103,RedDoorz Tanah Abang,2-star hotel,3.9,(25),"IDR 107,259",Jakarta,True,False,False,False,False,False,False
112,RedDoorz Premium @ Cilandak Timur 2,2-star hotel,4.5,(243),"IDR 184,569",Jakarta,False,False,True,False,False,False,False
113,OYO 3194 Margonda Executive,2-star hotel,3.6,(179),"IDR 104,745",Jakarta,True,False,False,False,False,False,False
114,Daun Residence,2-star hotel,4.5,(205),"IDR 337,575",Jakarta,False,False,False,False,False,False,False
115,Smart Hotel Thamrin Jakarta,2-star hotel,3.3,"(1,045)","IDR 208,496",Jakarta,True,False,False,False,False,True,False
116,Gayatri Residence,2-star hotel,4.3,(44),"IDR 124,284",Jakarta,False,False,False,False,False,False,False
117,AMS Penthouse Hotel,2-star hotel,4,(485),"IDR 107,638",Jakarta,True,False,False,False,False,False,False
118,The Packer Lodge,2-star hotel,4.5,(455),"IDR 196,029",Jakarta,True,False,False,False,False,True,False
119,Bold Hotel,2-star hotel,4.5,(828),"IDR 171,493",Jakarta,True,False,False,False,False,False,False
120,Bobobox Pancoran,2-star hotel,4.6,(712),"IDR 207,028",Jakarta,True,False,False,False,False,False,False
121,Hotel Istana Bungur,2-star hotel,3.7,(431),"IDR 127,322",Jakarta,True,False,False,False,False,True,False
122,Bangka Suite,2-star hotel,4.6,(260),"IDR 238,191",Jakarta,True,False,True,False,False,False,False
123,Urbanview Hotel Minongga Pondok Labu,2-star hotel,4.1,(462),"IDR 167,438",Jakarta,False,False,False,False,False,False,False
124,Nite & Day Hotel Mangga Besar,2-star hotel,4.1,(625),"IDR 270,000",Jakarta,True,False,False,False,False,False,False
125,MK HOUSE TENDEAN,2-star hotel,4.4,(548),"IDR 113,133",Jakarta,True,False,False,False,False,False,False
126,Urbanview Hotel Mroom PH,2-star hotel,3.9,(622),"IDR 166,725",Jakarta,True,False,False,False,False,True,False
127,MUTIARA SUITES | Jakarta,2-star hotel,4.3,(366),"IDR 277,633",Jakarta,True,False,True,False,False,True,False
128,Amaris Hotel Panglima Polim,2-star hotel,4.2,(901),"IDR 247,455",Jakarta,True,False,False,False,False,True,False
129,Capsule Hotel New Batavia,2-star hotel,4.5,(490),"IDR 208,248",Jakarta,True,True,False,False,False,True,False
130,Augusta Hotel,2-star hotel,3.8,(521),"IDR 214,813",Jakarta,False,False,False,False,False,True,False
131,City Style Residence,2-star hotel,4.1,(211),"IDR 113,466",Jakarta,False,False,False,False,False,False,False
132,Oekude Residence,2-star hotel,4.2,(336),"IDR 95,771",Jakarta,True,False,False,False,False,False,False
133,Lagura Residence Guest House,2-star hotel,4.1,(447),"IDR 161,924",Jakarta,False,False,False,False,False,False,False
134,ZEN Rooms De 80's Ekonomi,2-star hotel,4,(207),"IDR 102,586",Jakarta,True,False,False,False,False,False,False
135,Bangka Bed and Breakfast,2-star hotel,4.3,(48),"IDR 174,031",Jakarta,True,False,False,False,False,False,False
136,OYO 115 Portal Residence,2-star hotel,3.9,(55),"IDR 140,885",Jakarta,False,False,False,False,False,False,False
137,OYO 141 Fatmawati Cozy Residence,2-star hotel,3.9,(194),"IDR 178,852",Jakarta,True,False,False,False,False,False,False
138,RedDoorz near Central Park Mall,2-star hotel,4.4,(191),"IDR 103,970",Jakarta,False,False,False,False,False,False,False
139,The Plaza Hotel Glodok,2-star hotel,4.1,(532),"IDR 188,979",Jakarta,True,False,False,False,False,True,False
140,UniK Guest House,2-star hotel,4.3,(24),"IDR 160,000",Jakarta,True,False,False,False,False,False,False
141,N3 Hotel Zainul Arifin,2-star hotel,3.9,(380),"IDR 152,456",Jakarta,True,False,False,False,False,False,False
142,Residence 100,2-star hotel,3.8,(345),"IDR 170,375",Jakarta,True,False,False,False,False,True,False
143,Icorner Residence,2-star hotel,4.2,(344),"IDR 191,474",Jakarta,True,False,False,False,False,False,False
144,OYO 1805 Fatmawati Mansion Syariah,2-star hotel,4.1,(113),"IDR 109,724",Jakarta,False,False,False,False,False,False,False
145,Central Front One Inn Jakarta Airport,2-star hotel,4.3,(348),"IDR 252,756",Jakarta,True,False,False,False,False,True,False
146,Hotel Lautze Indah,2-star hotel,3.7,(658),"IDR 215,024",Jakarta,True,False,False,False,False,True,False
147,Villa Srimanganti,2-star hotel,4.3,(959),"IDR 155,530",Jakarta,True,False,True,False,False,False,False
148,Focus Hotel,2-star hotel,4.1,(433),"IDR 305,415",Jakarta,True,False,False,False,False,False,False
149,U Stay Hotel Gunung Sahari Jakarta,2-star hotel,3.7,(616),"IDR 137,210",Jakarta,True,False,False,False,False,False,False
150,Wonderloft Hostel,2-star hotel,4.5,(774),"IDR 155,875",Jakarta,True,False,False,False,False,False,False
151,Magnolia Hotel,2-star hotel,3.9,(295),"IDR 327,509",Jakarta,True,False,False,False,False,False,False
152,Uptown residence Pondok Pinang Jakarta Selatan,2-star hotel,3.7,(158),"IDR 99,211",Jakarta,False,False,False,False,False,False,False
153,Hotel 678 Kemang,2-star hotel,4.1,(298),"IDR 350,001",Jakarta,True,False,False,False,False,True,True
154,OYO 1805 Fatmawati Mansion Syariah,2-star hotel,4.1,(113),"IDR 109,724",Jakarta,False,False,False,False,False,False,False
155,OYO 2348 Ende Elok,2-star hotel,3.8,(332),"IDR 201,287",Jakarta,True,False,False,False,False,False,False
156,Cilandak Mansion Hotel,2-star hotel,4.6,(18),"IDR 217,539",Jakarta,False,False,False,False,False,False,False
157,RedDoorz near Mangga Dua Square,2-star hotel,3.4,(64),"IDR 94,171",Jakarta,False,False,False,False,False,False,False
158,Hotel Cempaka Sari,2-star hotel,3.9,(595),"IDR 149,999",Jakarta,True,False,False,False,False,True,False
159,Twins Manggadua,2-star hotel,4.1,(323),"IDR 257,807",Jakarta,True,False,False,False,False,True,False
160,LeGreen Suite Poso,2-star hotel,4,(359),"IDR 272,317",Jakarta,True,False,False,False,False,False,False
161,Puri Saras Bintaro Syariah,2-star hotel,4,(350),"IDR 121,125",Jakarta,True,False,False,False,False,False,False
162,de 80's genteng ijo,2-star hotel,4.3,(277),"IDR 168,284",Jakarta,True,True,False,False,False,True,False
163,VK Pods Jakarta @PIK,2-star hotel,4.4,(111),"IDR 157,420",Jakarta,True,False,False,False,False,False,False
164,Green Apple Residence RedPartner,2-star hotel,4.1,(164),"IDR 135,555",Jakarta,True,False,False,False,False,False,False
165,Hotel Mustika Senen,2-star hotel,3.9,(463),"IDR 239,002",Jakarta,True,False,False,False,False,True,False
166,N1 Hotel Tanah Abang,2-star hotel,3.8,(873),"IDR 145,350",Jakarta,True,False,False,False,False,True,False
167,LeGreen Suite Penjernihan,2-star hotel,4.2,(453),"IDR 276,420",Jakarta,True,False,False,False,False,False,False
168,RedDoorz @ Pangeran Antasari 2,2-star hotel,3.8,(342),"IDR 105,397",Jakarta,False,False,False,False,False,False,False
169,Mendjangan Kuningan Residence,2-star hotel,4.3,(85),"IDR 317,189",Jakarta,False,False,False,False,False,False,False
170,Plaza 68,2-star hotel,4.3,(420),"IDR 214,319",Jakarta,False,False,False,False,False,False,False
172,G7 Hotel New Market,2-star hotel,4.3,(546),"IDR 263,909",Jakarta,True,False,False,False,False,True,False
173,K-Style Eco Hotel Jakarta,2-star hotel,4,(214),"IDR 131,281",Jakarta,True,False,False,False,False,False,False
174,OYO 297 45 Residence,2-star hotel,4.1,(337),"IDR 94,970",Jakarta,True,False,False,False,False,False,False
175,SPOT ON 3155 Penginapan Banyu Biru Syariah,2-star hotel,3.6,(220),"IDR 64,356",Jakarta,True,False,False,False,False,False,False
176,City Biz Residence,2-star hotel,3.9,(209),"IDR 131,634",Jakarta,True,False,False,False,False,False,False
177,MK House SCBD,2-star hotel,4.3,(514),"IDR 195,842",Jakarta,True,False,False,False,False,False,False
178,New Priok Indah Syariah Hotel,2-star hotel,4.3,(235),"IDR 137,157",Jakarta,True,False,False,False,False,False,False
179,Kanto's Guest House,2-star hotel,4.3,(296),"IDR 159,310",Jakarta,True,False,False,False,False,False,False
180,Tujutiga Suites,2-star hotel,4.5,(91),"IDR 375,000",Jakarta,True,False,False,False,False,False,False
181,Rumah Shinta Jakarta,2-star hotel,4.1,(475),"IDR 270,727",Jakarta,True,False,False,False,False,True,False
182,favehotel Melawai,3-star hotel,4.2,"(2,482)","IDR 315,801",Jakarta,True,False,False,False,False,True,False
183,Sans Hotel Fiducia Kaji,3-star hotel,3.9,(432),"IDR 172,125",Jakarta,True,False,False,False,False,True,False
184,B Shaw Hotel,3-star hotel,4,(414),"IDR 169,290",Jakarta,True,False,False,False,False,False,False
185,D HOTEL,3-star hotel,4.2,"(2,248)","IDR 242,550",Jakarta,True,False,False,False,False,True,False
186,All Seasons Jakarta Thamrin,3-star hotel,4.4,"(4,111)","IDR 626,944",Jakarta,True,True,False,True,True,True,False
187,1O1 URBAN Jakarta Thamrin,3-star hotel,4.3,"(4,260)","IDR 502,667",Jakarta,True,True,True,False,False,True,False
188,Asyana Kemayoran Jakarta,3-star hotel,4.3,"(2,672)","IDR 246,409",Jakarta,True,False,True,False,False,True,False
189,Swiss-Belinn Simatupang,3-star hotel,4.4,"(3,639)","IDR 526,840",Jakarta,True,False,True,True,True,True,False
190,ARTOTEL Thamrin - Jakarta,3-star hotel,4.4,"(3,832)","IDR 541,562",Jakarta,True,True,False,True,False,True,False
191,ibis Jakarta Arcadia,3-star hotel,4.2,"(1,613)","IDR 400,048",Jakarta,True,False,False,True,False,True,False
192,Classic Hotel,3-star hotel,4.3,"(4,978)","IDR 298,880",Jakarta,True,True,False,True,False,False,True
193,OYO Townhouse 1 Hotel Salemba,3-star hotel,4,(879),"IDR 176,065",Jakarta,True,False,False,False,False,False,False
194,Heef Hotel,3-star hotel,4.3,"(1,414)","IDR 316,306",Jakarta,True,False,False,False,False,True,False
195,The Gloria Suites Jakarta,3-star hotel,3.4,(171),"IDR 238,743",Jakarta,True,False,True,False,False,True,False
196,Topaz Residence,3-star hotel,4.3,(788),"IDR 214,258",Jakarta,True,False,False,False,False,True,False
197,Swiss-Belinn Wahid Hasyim,3-star hotel,4.5,(535),"IDR 497,985",Jakarta,True,True,False,False,False,True,False
198,Triniti Hotel Jakarta,3-star hotel,4.2,"(1,178)","IDR 311,672",Jakarta,True,False,False,True,False,True,False
199,ibis Jakarta Senen,3-star hotel,4.3,"(2,673)","IDR 334,555",Jakarta,True,False,False,False,False,True,False
200,Hotel Rivoli Jakarta,3-star hotel,4.2,"(2,394)","IDR 269,352",Jakarta,True,True,False,True,True,True,False
201,favehotel Melawai,3-star hotel,4.2,"(2,481)","IDR 315,801",Jakarta,True,False,False,False,False,True,False
202,Oak Tree Hotel Jakarta,3-star hotel,4,"(1,053)","IDR 263,337",Jakarta,True,False,False,False,False,True,False
203,ibis Styles Jakarta Simatupang,3-star hotel,4.6,"(1,382)","IDR 593,107",Jakarta,True,True,False,False,True,True,False
204,Zuri Express Mangga Dua,3-star hotel,4.6,"(3,562)","IDR 251,407",Jakarta,True,False,False,True,False,True,False
205,Sentral Cawang Hotel Jakarta,3-star hotel,4.4,"(5,086)","IDR 292,709",Jakarta,True,True,True,True,False,True,False
206,Dequr,3-star hotel,3.9,(460),"IDR 123,489",Jakarta,True,False,False,False,False,True,False
207,favehotel Pasar Baru,3-star hotel,4.3,"(1,901)","IDR 292,810",Jakarta,True,False,False,False,False,True,False
208,Maple Hotel Grogol,3-star hotel,4.2,"(1,690)","IDR 229,903",Jakarta,True,True,False,False,False,True,False
209,Tamarin Hotel Jakarta,3-star hotel,4.3,"(2,773)","IDR 314,579",Jakarta,True,False,True,True,True,True,False
210,Park5 Simatupang,3-star hotel,4.5,"(3,326)","IDR 470,488",Jakarta,True,True,True,True,True,False,False
211,ibis Styles Jakarta Sunter,3-star hotel,4.4,"(3,378)","IDR 420,933",Jakarta,True,True,True,True,True,False,False
212,Hotel NEO+ Kebayoran,3-star hotel,4.4,"(2,521)","IDR 348,212",Jakarta,True,False,True,True,False,True,False
213,Hotel Santika Taman Mini Indonesia Indah,3-star hotel,4.3,"(3,758)","IDR 608,004",Jakarta,True,False,True,True,True,True,False
214,Red Planet Jakarta Pasar Baru,3-star hotel,4.3,"(3,037)","IDR 248,752",Jakarta,True,False,False,False,False,True,False
215,POP! Hotel Kelapa Gading Jakarta,3-star hotel,4.2,"(1,880)","IDR 324,719",Jakarta,True,False,False,False,False,True,False
216,Titanium Express HomTel,3-star hotel,4.2,(685),"IDR 253,816",Jakarta,True,False,True,False,False,True,False
217,Kaisar Hotel Jakarta,3-star hotel,4.1,"(3,670)","IDR 328,690",Jakarta,True,True,False,True,False,True,True
218,MAXWELL Hotel Jakarta,3-star hotel,4.2,"(1,223)","IDR 302,479",Jakarta,True,False,False,True,True,True,False
219,favehotel PGC Cililitan,3-star hotel,4.3,"(10,550)","IDR 294,025",Jakarta,True,False,False,True,False,True,False
220,Kaisar Hotel Jakarta,3-star hotel,4.1,"(3,670)","IDR 328,690",Jakarta,True,True,False,True,False,True,True
221,MAXWELL Hotel Jakarta,3-star hotel,4.2,"(1,223)","IDR 302,479",Jakarta,True,False,False,True,True,True,False
222,favehotel PGC Cililitan,3-star hotel,4.3,"(10,550)","IDR 294,025",Jakarta,True,False,False,True,False,True,False
223,Ozone Hotel,3-star hotel,4.2,"(1,508)","IDR 618,807",Jakarta,True,False,False,False,False,True,False
224,Blue Sky Hotel Petamburan,3-star hotel,4.2,"(1,869)","IDR 409,371",Jakarta,True,False,False,True,True,True,False
225,Verse Luxe Hotel Wahid Hasyim,3-star hotel,4.2,"(2,101)","IDR 371,004",Jakarta,True,False,False,False,False,True,False
226,Arosa Hotel Jakarta.,3-star hotel,4.5,"(1,974)","IDR 452,295",Jakarta,True,False,False,False,False,True,False
227,favehotel LTC Glodok,3-star hotel,4.2,"(2,252)","IDR 247,000",Jakarta,True,False,False,True,False,True,False
228,Luminor,3-star hotel,4.4,"(3,899)","IDR 450,103",Jakarta,True,False,False,True,False,True,False
229,YELLO Hotel Harmoni Jakarta,3-star hotel,4.5,"(5,491)","IDR 437,403",Jakarta,True,True,False,False,True,True,False
230,Juno Tanah Abang Jakarta,3-star hotel,4.4,"(2,544)","IDR 392,414",Jakarta,True,False,False,False,False,True,False
231,Amaris Hotel La Codefin Kemang,3-star hotel,4.2,"(1,949)","IDR 289,788",Jakarta,True,False,False,False,False,True,False
232,favehotel Puri Indah,3-star hotel,4.4,"(3,660)","IDR 360,019",Jakarta,True,False,False,True,False,True,False
233,Swiss-Belinn Airport Jakarta,3-star hotel,4.3,"(3,024)","IDR 460,275",Jakarta,True,False,False,True,True,True,False
234,Grand Picasso Hotel,3-star hotel,4.4,(936),"IDR 351,057",Jakarta,True,True,False,True,False,True,False
235,City Icon Residence,3-star hotel,4,(660),"IDR 128,096",Jakarta,True,False,False,False,False,True,False
236,U Stay Hotel Mangga Besar,3-star hotel,4,"(1,933)","IDR 218,402",Jakarta,True,False,False,False,False,True,False
237,GrandG7 Hotel,3-star hotel,4.4,"(1,372)","IDR 366,524",Jakarta,True,False,False,True,False,True,False
238,OYO Townhouse 2 Hotel Gunung Sahari,3-star hotel,4.2,(755),"IDR 188,280",Jakarta,True,False,True,False,False,True,False
239,1O1 URBAN Jakarta Kelapa Gading (The BnB),3-star hotel,4.3,"(3,264)","IDR 300,016",Jakarta,True,False,False,False,False,True,False
240,Ana Hotel,3-star hotel,4.3,"(1,142)","IDR 408,062",Jakarta,True,False,False,False,False,True,False
241,Maven Fatmawati Hotel jakarta,3-star hotel,4,(836),"IDR 196,301",Jakarta,True,False,False,False,False,True,False
242,"La Boheme, Rooms and Coffee",3-star hotel,4.5,(864),"IDR 425,678",Jakarta,True,False,False,False,False,True,False
243,Swiss-Belinn Kemayoran,3-star hotel,4.4,"(4,650)","IDR 476,000",Jakarta,True,False,True,True,True,True,False
244,F Hotel,3-star hotel,4.4,(542),"IDR 354,200",Jakarta,True,False,False,False,False,True,False
245,Oria Hotel,3-star hotel,4.3,"(2,024)","IDR 447,432",Jakarta,True,False,False,False,False,True,False
